title,type,genre_ids,overview,release_date,popularity,vote_average,poster_path
Late Night with Seth Meyers,series,"[10767, 35]","Seth Meyers, who is ""Saturday Night Live's"" longest serving anchor on the show's wildly popular ""Weekend Update,"" takes over as host of NBC's ""Late Night"" — home to A-list celebrity guests, memorable comedy and the best in musical talent. As the Emmy Award-winning head writer for ""SNL,"" Meyers has established a reputation for sharp wit and perfectly timed comedy, and has gained fame for his spot-on jokes and satire. Meyers takes his departure from ""SNL"" to his new post at ""Late Night,"" as Jimmy Fallon moves to ""The Tonight Show"".",2014-02-25,136.2593,5.098,/u8VruEGv7mtyJihVn2CSA1u90pk.jpg
初次尝鲜,series,[],,2025-11-12,156.6796,7.0,/gxq85xyyOgEJtatrDFO4c3aJUQX.jpg
The Kelly Clarkson Show,series,[10767],"Kelly Clarkson presents the biggest newsmakers and names in film, television and music; as well as emerging new talent and everyday people who are beacons of hope in their communities.",2019-09-09,133.9329,6.3,/sBix25bie9UQFzbarN51DpFO5ky.jpg
Smallville,series,"[10765, 10759, 18]",The origins of the world’s greatest hero–from Krypton refugee Kal-el’s arrival on Earth through his tumultuous teen years to Clark Kent’s final steps toward embracing his destiny as the Man of Steel.,2001-10-16,142.3861,8.192,/mHZSq8LA5Dt48JjaOZ5tcPXQRVN.jpg
Teen Titans Go!,series,"[16, 10759, 35, 10751, 10765]","Robin, Starfire, Raven, Beast Boy and Cyborg return in all-new, comedic adventures. They may be super heroes who save the world every day ... but somebody still has to do the laundry!",2013-04-23,143.6835,6.43,/kPKAigYUlWRpnfo4Ptiwlz4FWXU.jpg
Lenßen & Partner,series,"[10764, 80]",Attorney Ingo Lenssen and his team of investigators who specialize in sensitive cases involving clients who prefer private investigations to legal advice.,2003-03-10,146.9397,6.5,/wJhQ0nIBMH5tScrXFA9BjqpONnN.jpg
"Gute Zeiten, schlechte Zeiten",series,"[18, 10766]","Gute Zeiten, schlechte Zeiten is a long-running German television soap opera, first broadcast on RTL in 1992. The programme concerns the lives of a fictional neighborhood in Germany's capital city Berlin. Over the years the soap opera tends to have an overhaul of young people in their late teens and early twenties; targeting a young viewership.",1992-05-11,141.5672,5.5,/qujVFLAlBnPU9mZElV4NZgL8iXT.jpg
Law of the Jungle,series,[10764],"Law of the Jungle is a hybrid reality show combining elements of drama and documentary. The show is hosted by comedian Kim Byung Man, and each episode invites various celebrities from the various field. So far, many of idol stars and famous actors have appeared on the show. The show introduces viewers to exotic locations around the world where celebrities must work together in order to complete missions and survive. The cast celebrities travel to less habituated, natural places to survive on their own and experience life with local tribes and people. In each location, the guests are tasked to hunt and prepare their meals and also create shelter for the tribe. They sometimes confronted by many difficult challenges. Where will the tribe visit? And how will they survive on their own? Stay tuned to check out!",2011-10-21,118.0505,5.7,/zgMOq3H27nYikqjykeXCIIFRbjK.jpg
Chicago Fire,series,[18],"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.",2012-10-10,132.4504,8.41,/r915sk2JpthZSjHEgZKifWxgo6L.jpg
Modern Family,series,[35],"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",2009-09-23,126.4229,7.915,/k5Qg5rgPoKdh3yTJJrLtyoyYGwC.jpg
Law & Order: Criminal Intent,series,[18],The third installment of the “Law & Order” franchise takes viewers deep into the minds of its criminals while following the intense psychological approaches the Major Case Squad uses to solve its crimes.,2001-09-30,124.5035,7.578,/zgBg8gTCELQg73awE7qAuV06c4Z.jpg
Friends,series,[35],"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",1994-09-22,138.447,8.414,/2koX1xLkpTQM4IZebYvKysFW1Nh.jpg
